Organisation Name,Section,Costs (Higher),Financial year: End Date
VELTHA (VELTHA),III - Non-governmental organisations,99999,01/12/2015
Deutsche Gesellschaft fôr Herpetologie und Terrarienkunde (DGHT),III - Non-governmental organisations,9999,01/12/2016
ABERYSTWYTH UNIVERSITY (AU),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/07/2016
ZO _SOP JILM,III - Non-governmental organisations,50,01/12/2016
TRAXIO,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Caravan and Motorhome Club,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Sandvik AB,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Krajowa Sp„_dzielcza Kasa Oszcz_dno_ciowo - Kredytowa (Kasa Krajowa),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
MBO Raad,III - Non-governmental organisations,130000,01/12/2016
Oulun yliopisto (UOULU),"IV - Think tanks, research and academic institutions",99999,01/12/2016
European Environmental Bureau (EEB),III - Non-governmental organisations,3499999,01/12/2016
Open Smart Grid Protocol Alliance (OSGP),III - Non-governmental organisations,40000,01/12/2016
Open Government Partnership (OGP),III - Non-governmental organisations,49999,01/12/2016
Rosa Scotti,I - Professional consultancies/law firms/self-employed consultants, -   ,
Universiteit Twente (UT),"IV - Think tanks, research and academic institutions",9999,01/12/2015
"Federaci„n Provincial de Agricultores, ganaderos y empresarios forestales de Castell„n. (FEPAC-ASAJA)",II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
NW (NW),I - Professional consultancies/law firms/self-employed consultants,9999,01/04/2017
Universitat Pompeu Fabra (UPF),"IV - Think tanks, research and academic institutions",24999,01/12/2016
IOGT International (IOGT International),III - Non-governmental organisations,24999,01/12/2016
Engaged Consulting Limited (Engaged Consulting),I - Professional consultancies/law firms/self-employed consultants,9999,01/06/2016
UNION DES ENTREPRISES 35 -  MEDEF 35 (UE 35),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European Wireless Infrastructure Association (EWIA),II - In-house lobbyists and trade/business/professional associations,49999,01/08/2016
Iridium Communications LLC,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Bifurcated Carrots,III - Non-governmental organisations,9999,01/12/2016
Associazione Fabbrica Intelligente Lombardia (AFIL),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
WiseEuropa - Fundacja Warszawski Instytut Studi„w Ekonomicznych i Europejskich (WiseEuropa),"IV - Think tanks, research and academic institutions",199999,01/12/2016
FINANSOL,III - Non-governmental organisations,9999,01/12/2016
G„rno_l_ska Agencja Przedsiebiorczo_ci i Rozwoju Sp. z o.o. (GAPR),III - Non-governmental organisations,100000,01/12/2016
Flanders Investment & Trade (FIT),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",150000,01/12/2016
GLP CONSEILS,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Alliance of Central-Eastern European Universities (ACEU),"IV - Think tanks, research and academic institutions",4100,01/12/2015
Software AG (SAG),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
CONSORZIO UNIVERSITARIO UNISANPIETRO (UNISANPIETRO),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Francisco Gonzalez Mene,I - Professional consultancies/law firms/self-employed consultants,40000,01/12/2016
Asocia_ia National_ a Industriilor de Mor_rit _i Panifica_ie din Rom_nia - ANAMOB (ANAMOB),III - Non-governmental organisations,99999,01/12/2016
Queen Mary Intellectual Property Research Institute (QMIPRI),"IV - Think tanks, research and academic institutions",9999,01/05/2017
Solidar Tunisie (Solidar),III - Non-governmental organisations,45000,01/12/2016
Swedish Union of Journalists (Journalistf_rbundet),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Sirius - Policy network on Migrant Education,III - Non-governmental organisations, -   ,
Keidanren (Japan Business Federation),II - In-house lobbyists and trade/business/professional associations,399999,01/03/2017
Gaelectric Energy Storage Ltd (GES),II - In-house lobbyists and trade/business/professional associations,160000,01/03/2016
STC-NESTRA (STC-NESTRA),I - Professional consultancies/law firms/self-employed consultants,199999,01/01/2016
BHP Billiton (BHP Billiton),II - In-house lobbyists and trade/business/professional associations,50000,01/06/2016
Soci_t_ R_gionale d'Investissement de Wallonie (SRIW),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",499999,01/12/2016
Max Planck Institute Foundation Luxemburg (MPILU),"IV - Think tanks, research and academic institutions",24999,01/12/2016
VOLçN Egyesôl_s,II - In-house lobbyists and trade/business/professional associations,260641,01/12/2016
Netherlands Maritime Technology (NMT),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Essent N.V.,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
ENTREPRENEURS DES TERRITOIRES (FNEDT),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Christian Schultz (SchultzKom),I - Professional consultancies/law firms/self-employed consultants,9999,01/06/2017
AB Azucarera Iberia S.L. (Azucarera),II - In-house lobbyists and trade/business/professional associations,15400,01/08/2016
________ ______ _____ ___ _____ (___ | NFGR),III - Non-governmental organisations,10000,01/12/2016
Associaç†o Smart Waste Portugal (SWP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
African Fashion Gate - La Moda Veste La Pace (AFG),III - Non-governmental organisations, -   ,
Fondazione Banco delle Opere di Carit_ (FBOC),III - Non-governmental organisations, -   ,
Nowoczesna Polska (Nowoczesna Polska),III - Non-governmental organisations,55941,01/12/2016
Aboca S.p.a. Societ_ Agricola,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Korea Deposit Insurance Corporation (KDIC),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
Federaci„n Espa_ola del Vino (FEV),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Europartners. (EPN),I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2015
Education in Inland Navigation (Edinna),III - Non-governmental organisations,10000,01/12/2016
Santi Roberto (Santi Roberto),I - Professional consultancies/law firms/self-employed consultants, -   ,
______ __ __________ __ ____________ (CSD),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Basilicon Consulting,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Wojskowa Akademia Techniczna im. Jaros_awa D_browskiego (WAT),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Newron Pharmaceuticals,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
"Lithuanian Cybercrime Center of Excellence for Training, Research & Education (L3CE)",III - Non-governmental organisations,199999,01/01/2017
BAM International BV,II - In-house lobbyists and trade/business/professional associations,9999,01/01/2016
Universidade do Porto (U.Porto),"IV - Think tanks, research and academic institutions",1249999,01/12/2016
Confederaci„n de Consumidores y Usuarios (CECU),III - Non-governmental organisations,9999,01/12/2015
Kosovo Women's Network (KWN),III - Non-governmental organisations,66679,01/12/2016
drust,II - In-house lobbyists and trade/business/professional associations, -   ,01/12/2015
AquaTT UETP Ltd (AquaTT),III - Non-governmental organisations,598072,01/12/2015
Luder Patrick,I - Professional consultancies/law firms/self-employed consultants, -   ,
Mis Amigas Las Palomas (MALP),III - Non-governmental organisations,15000,01/12/2016
The Ex'tax Project Foundation,"IV - Think tanks, research and academic institutions",9999,01/01/2017
BRM EUROPE SPRL (BRM Europe),I - Professional consultancies/law firms/self-employed consultants,200000,01/12/2016
Mannov A/S,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Groupement français des Bancassureurs (GFBA),II - In-house lobbyists and trade/business/professional associations,560000,01/12/2016
Royal College of Physicians (RCP),II - In-house lobbyists and trade/business/professional associations,99000,01/01/2017
Institut Jacques Delors / Jacques Delors Institute (IJD / JDI),"IV - Think tanks, research and academic institutions",1249999,01/12/2016
University of Brighton (UoB),"IV - Think tanks, research and academic institutions",20000,01/07/2016
Asociatia JUNII (JUNII),III - Non-governmental organisations,2200,01/12/2016
Nederlandse Zuivel Organisatie (NZO),II - In-house lobbyists and trade/business/professional associations,600000,01/12/2015
Iconoclast Tech LLC,I - Professional consultancies/law firms/self-employed consultants, -   ,
"EDP - Energias de Portugal, SA (EDP)",II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
AFECOR - European Control Manufacturers Association (AFECOR),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Rolava z.s.,III - Non-governmental organisations,130,01/12/2016
Swedish International Liberal Center (SILC),III - Non-governmental organisations,20000,01/12/2015
Allgemeiner Deutscher Automobil-Club e.V. (ADAC e.V.),III - Non-governmental organisations,799999,01/12/2016
European Headache Alliance (EHA),III - Non-governmental organisations,9410,01/12/2016
Og„lnopolskie Porozumienie Zwi_zk„w Zawodowych (OPZZ),II - In-house lobbyists and trade/business/professional associations,999999,01/12/2016
PPRO Financial Ltd (PPRO),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
The Friday Group (VGV),"IV - Think tanks, research and academic institutions",100000,01/12/2016
GeoTLD Group (geoTLD.group),II - In-house lobbyists and trade/business/professional associations, -   ,
Syndicat national de l'industrie des technologies m_dicales (SNITEM),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Farm Europe (FE),"IV - Think tanks, research and academic institutions",599999,01/07/2016
Smart Payment Association (SPA),III - Non-governmental organisations,75000,01/03/2017
"CEMEX, S.A.B. de C.V. (CEMEX)",II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Golden Agri-Resources Ltd (GAR),II - In-house lobbyists and trade/business/professional associations,150000,01/12/2016
European Association of Qualified Entities (EAQE),II - In-house lobbyists and trade/business/professional associations, -   ,
Nimbus srl (Nimbus),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
MACPartners (MACP),II - In-house lobbyists and trade/business/professional associations,49999,01/01/2017
Association of Independent Risk and Fraud Advisors (AIRFA),II - In-house lobbyists and trade/business/professional associations,9999,01/10/2016
Deviller Environmental Risk Assessment of Chemicals (DERAC),I - Professional consultancies/law firms/self-employed consultants, -   ,
Bankia S.A. (Bankia),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
_________ __________ _________ ___________ (_._._._. - H.A.P.Sc.),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Hochschule Bremen (HSB),"IV - Think tanks, research and academic institutions",9999,01/12/2015
EUCED - Grupo Europeu de Cooperaç†o Econ„mica e Desenvolvimento (EUCED AEIE / EEIG),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
M_decins Sans Frontières International (MSF International),III - Non-governmental organisations,200000,01/12/2015
NEOS SPA,II - In-house lobbyists and trade/business/professional associations,9999,01/10/2016
I.I. CSAK LASZLO,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Laure ANSELME (Kauri Conseil),I - Professional consultancies/law firms/self-employed consultants, -   ,
Euroadvice,I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2016
World of International Relations (W.I.R.),III - Non-governmental organisations, -   ,
Citizens Advice,II - In-house lobbyists and trade/business/professional associations,99999,01/03/2017
Szakszervezetek Egyôttm_k_d_si F„ruma (SZEF),II - In-house lobbyists and trade/business/professional associations,448080,01/05/2017
Centre on European Relations (Scotland) (SCER),"IV - Think tanks, research and academic institutions", -   ,
Nˆrodn_ po_nohospodˆrske a potravinˆrske centrum (NPPC),"IV - Think tanks, research and academic institutions",49999,01/12/2016
European Network of Living Labs (ENoLL),III - Non-governmental organisations,508025,01/12/2015
Krajowe Forum Ch_odnictwa - Zwi_zek Pracodawc„w (KFCh),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Penal Reform International (PRI),III - Non-governmental organisations,9999,01/12/2016
Turkish Cypriot Chamber of Commerce (KTTO),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Valter Scardovi (Scardovi Valter),I - Professional consultancies/law firms/self-employed consultants, -   ,
Zwi_zek Pracodawc„w Transport i Logistyka Polska (TLP),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Confederation of European Data Protection Organisations (CEDPO),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
International Federation of Podiatrists (FIP-IFP),II - In-house lobbyists and trade/business/professional associations,15970,01/04/2017
For_tica,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
eLabEurope / The Good Lobby,III - Non-governmental organisations, -   ,
Fresenius Kabi Deutschland GmbH,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
AMARANTE International (AI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Sediment Network (SedNet),III - Non-governmental organisations,9999,01/12/2015
"Asociˆcia priemyslu, po_nohospodˆrstva a slu_ieb (APPS)",II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Patient Access Partnership (PACT),III - Non-governmental organisations,99999,01/12/2016
Euro-Mediterranean Human Rights Monitor (Euro-Med Monitor),III - Non-governmental organisations,9999,01/12/2016
Found.ation Maker's Place P.C.,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
International Humanist and Ethical Union (IHEU),III - Non-governmental organisations,199999,01/12/2016
BLUE BUBBLEWORLD (BBW),III - Non-governmental organisations,9999,01/01/2017
Capgemini Service,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
World Veterinary Association (WVA),III - Non-governmental organisations,49999,01/12/2016
Business Angels Europe (BAE),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Il Chiostro-trasparenza e professionalit_ delle lobby (Il Chiostro),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Conseil national du num_rique (CNNum),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",99999,01/01/2016
Esterline Belgium bvba (ELB),II - In-house lobbyists and trade/business/professional associations,24999,01/09/2016
Fischoeder Kommunikationsberater,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Cfinancials,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Equifax,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Belron International Limited,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Suomen s_hk_nk_ytt_j_t ry (Association of Energy Users in Finland) (ELFI),III - Non-governmental organisations, -   ,
Cabinet conseil EFINAD (EFINAD),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2016
Joint Programming Initiative on Antimicrobial Restistance (JPIAMR),III - Non-governmental organisations, -   ,
European Technology Platform for High Performance Computing (ETP4HPC),"IV - Think tanks, research and academic institutions",399999,01/12/2016
IDEFIE (IDEFIE),III - Non-governmental organisations,24999,01/12/2016
Funding Fish (Our Fish),III - Non-governmental organisations, -   ,
Scholz Austria GmbH,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Panara s.r.o. (Panara),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Fundaci„n CEPAIM. Acci„n Integral con Migrantes. (CEPAIM),III - Non-governmental organisations,24999,01/12/2015
Associazione Italiana Commercio Elettronico (AICEL),III - Non-governmental organisations,20000,01/12/2016
Scuola di Preparazione Sociale (SPS),III - Non-governmental organisations,10000,01/12/2016
ESI Group,II - In-house lobbyists and trade/business/professional associations,9999,01/01/2017
Stichting Trimbos-instituut,"IV - Think tanks, research and academic institutions",24999,01/12/2015
over grenzen vzw (over grenzen),III - Non-governmental organisations,40000,01/01/2017
Alianza de la Sanidad Privada Espa_ola (ASPE),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Ocean Unite,III - Non-governmental organisations, -   ,
NKM Nemzeti K_zm_vek Zrt. (NKM Zrt.),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Silicon Microgravity Limited (SMG),II - In-house lobbyists and trade/business/professional associations,24999,01/09/2016
PA Consulting Services Limited,I - Professional consultancies/law firms/self-employed consultants, -   ,01/04/2017
International Au Pair Association (IAPA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Wound Management Association (EWMA),III - Non-governmental organisations,24999,01/12/2016
EuroPriSe GmbH,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Alexander von Humboldt Institut fôr Internet und Gesellschaft (HIIG),III - Non-governmental organisations,9999,01/12/2016
Asociaci„n Espa_ola de Directivos de Responsabilidad Social (DIRSE),II - In-house lobbyists and trade/business/professional associations,99999,01/01/2017
Ingenico ePayments (Global Collect Services BV) (Ingenico ePayments),II - In-house lobbyists and trade/business/professional associations,2000,01/12/2016
Tax Justice Network Ltd (TJN),III - Non-governmental organisations,499999,01/12/2016
Netherlands Chamber of Commerce (Kamer van Koophandel) (KvK),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",199999,01/12/2016
Universit_t des Saarlandes (USAAR),"IV - Think tanks, research and academic institutions",99999,01/12/2015
Omni Modo Agnieszka Rzycka-Osiej (Omni Modo),I - Professional consultancies/law firms/self-employed consultants, -   ,01/01/2017
Asociaci„n de la Industria Navarra (AIN),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
SIBA SOFT INFORMATION SYSTEMS AND BUSINESS ORGANIZATION COMMERCIAL SA (SIBA SOFT SA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Alliander,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",200000,01/12/2016
Kreditech Holding SSL GmbH (Kreditech),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Metavallon,III - Non-governmental organisations,9999,01/12/2016
Akuo Energy,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Vereniging Nederlands Kalkzandsteenplatform (VNK),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Swiss Centre for International Humanitarian Law (SCIHL),"IV - Think tanks, research and academic institutions", -   ,
EIT INDONESIA (EITI),III - Non-governmental organisations,9999,01/12/2016
d'Amico Societ_ di Navigazione Spa,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
J.CORTES CIGARS N.V.,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
HemPoland sp. z o.o. (HemPoland),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Roland Berger GmbH (RB GmbH),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Circular Economy Club (CEC),III - Non-governmental organisations, -   ,
OIKOLOGIKI ETAIREIA ANAKYKLOSIS (Ecorec/OEA/ERS),III - Non-governmental organisations,9999,01/12/2016
Polskie Stowarzyszenie Biur T_umacze_ (Polish Association of Translation Companies) (PSBT),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Association for the European Citizens' Initiative e.V. (ECI e.V.),III - Non-governmental organisations, -   ,
VERTECH GROUP (VTG),II - In-house lobbyists and trade/business/professional associations,999999,01/12/2016
Friends of Europe (FoE),"IV - Think tanks, research and academic institutions",2999999,01/12/2016
"Instituto Tecnol„gico del Embalaje, Transporte y LogÍstica (ITENE)","IV - Think tanks, research and academic institutions",300000,01/12/2016
Vysokˆ _kola chemicko-technologickˆ v Praze (V_CHT Praha),"IV - Think tanks, research and academic institutions",299999,01/12/2016
International Centre for Sport Security Europe (ICSS EUROPE),III - Non-governmental organisations,199999,01/12/2016
Visagino technologijos ir verslo profesinio mokymo centras (VTVPMC),"IV - Think tanks, research and academic institutions",9999,01/12/2016
SELAFA MANDATAIRES JUDICIAIRES ASSOCIES ME VALERIE LELOUP THOMAS (MJA VLT),I - Professional consultancies/law firms/self-employed consultants,10000,01/12/2016
"Novabase Digital, S.A. (Novabase Digital)",II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
The Sustainers sp„_ka z ograniczon_ odpowiedzialno_ci_ (Sustainers),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Magyar Rektori Konferencia (MRK),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",15637,01/12/2016
European Association for Directors and Providers of Long-Term Care Services for the Elderly (E.D.E.),III - Non-governmental organisations,9999,01/12/2016
Polska Izba Gospodarki Odpadami (PIGO),II - In-house lobbyists and trade/business/professional associations,146592,01/12/2016
Initiative Madrenatura e.V. (Imana),III - Non-governmental organisations,500,01/12/2015
World Animal Protection,III - Non-governmental organisations,599999,01/12/2016
VINUM ET SPIRITUS ASSOCIATION BELGIUM (VINUM ET SPIRITUS),II - In-house lobbyists and trade/business/professional associations,49999,01/03/2017
MKC Communications,I - Professional consultancies/law firms/self-employed consultants,9999,01/01/2017
Radicalisation Awareness Network Centre of Excellence (RAN CoE),III - Non-governmental organisations, -   ,
International Council Supporting Fair Trial and Human Rights (Conseil international pour le soutien _ des procès _quitables et aux droits de l'Homme) (ICSFT),III - Non-governmental organisations, -   ,
Studio Legale Fabiano (SLF),I - Professional consultancies/law firms/self-employed consultants,20000,01/12/2016
Chambre Nationale des Conseillers en Investissements Financiers (CNCIF),III - Non-governmental organisations,36100,01/12/2016
Avrupa Kad_n Lobisi Tôrkiye Koordinasyonu (AKL TK),III - Non-governmental organisations,9999,01/01/2017
Berufsverband der Datenschutzbeauftragten Deutschlands (BvD),III - Non-governmental organisations,9999,01/01/2017
British Distillers Alliance (BDA),II - In-house lobbyists and trade/business/professional associations,9999,01/07/2017
Federazione Nazionale delle Associazioni Venatorie Riconosciute (FENAVERI),III - Non-governmental organisations,24999,01/12/2016
Suomen opiskelijakuntien liitto - SAMOK ry (SAMOK),III - Non-governmental organisations,9999,01/12/2016
Bundesarbeitsgemeinschaft Werkst_tten fôr behinderte Menschen (BAG WfbM),III - Non-governmental organisations,99999,01/12/2016
Free Fair Post Initiative (FFPI),III - Non-governmental organisations,24999,01/01/2017
"School of Geography, Queen Mary University of London (SOGQMUL)","IV - Think tanks, research and academic institutions",299999,01/07/2016
European Association for Aluminium Surface Treatment (ESTAL),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
cloudTEC GmbH,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Transmissible,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
Stromnetz Hamburg GmbH (SNH),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Po_ta Slovenije d.o.o.,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
CONCORD Europe,III - Non-governmental organisations,599999,01/12/2016
Regional Dialogue Institute for  organization of events and research  activity (RD),III - Non-governmental organisations,9999,01/12/2016
Grupo de Desarrollo Rural Valle del Guadalhore (GDR Valle del Guadal),III - Non-governmental organisations,15000,01/12/2016
M_decins du Monde Belgique (MdM-Belgique),III - Non-governmental organisations,24999,01/12/2016
The International Tax Stamp Association Limited (ITSA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Bayerischer Handwerkstag (BHT),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
The B4 Project,III - Non-governmental organisations,9999,01/03/2016
Ogilvy Group SA,I - Professional consultancies/law firms/self-employed consultants,9999,01/01/2017
Maritime UK,II - In-house lobbyists and trade/business/professional associations,9999,01/04/2017
Alcogroup,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Vlakglas Recycling Nederland (VRN),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
"""Dedal - Attestation and Certification"" Ltd.",II - In-house lobbyists and trade/business/professional associations,24999,01/07/2017
AS Valmieras stikla __iedra,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
The Consumer Goods Forum (CGF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
yourscience LTD (YRS LTD),I - Professional consultancies/law firms/self-employed consultants,24999,01/11/2017
Wayna Aero (Waynabox),II - In-house lobbyists and trade/business/professional associations,1249999,01/12/2016
Roger Creswell (CRA),I - Professional consultancies/law firms/self-employed consultants,9999,01/01/2017
Deutsche Gesellschaft fôr Transfusionsmedizin und Immunh_matologie e. V. (DGTI),III - Non-governmental organisations,4500,01/12/2016
"Akad_mia Ko_ice, n.o.",III - Non-governmental organisations,189000,01/12/2016
"SVOL _ komora soukrom_ch les_ v _R, z. s.",III - Non-governmental organisations,9999,01/12/2016
"Duracell International, Inc. (Duracell)",II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Bath Spa University (BSU),"IV - Think tanks, research and academic institutions",48000,01/07/2016
SDG Watch Europe,III - Non-governmental organisations,99999,01/12/2016
Institut fôr Weltwirtschaft (IfW),"IV - Think tanks, research and academic institutions",1249999,01/12/2016
Fundaci„n ESADE (ESADE),"IV - Think tanks, research and academic institutions",9999,01/08/2016
DeLaval International AB,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
PNO Innovatieadvies B.V. (PNO),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
X Prize Foundation,III - Non-governmental organisations,24999,01/12/2016
Greek Association of Renewable Electricity Producers (GAREP),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
European Palm Oil Alliance (EPOA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
RENEWABLE ENERGY GROUP (REGI),II - In-house lobbyists and trade/business/professional associations, -   ,
AT (LEITAT),"IV - Think tanks, research and academic institutions",24999,01/12/2016
International Federation of Aestheticians (INFA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
"Accademia Internazionale Partenopea ""Federico II""",II - In-house lobbyists and trade/business/professional associations,5000,01/12/2016
Fiber Carrier Asscociation,II - In-house lobbyists and trade/business/professional associations, -   ,
Europe's People's Forum (EPF),III - Non-governmental organisations, -   ,
Reporters sans frontières (RSF),III - Non-governmental organisations,99999,01/12/2016
European Chamber (EU Chamber),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",5000,01/12/2016
European Health Chamber,II - In-house lobbyists and trade/business/professional associations, -   ,
ReAct - Action on Antibiotic Resistance,"IV - Think tanks, research and academic institutions",9999,01/12/2016
Federcja Polskich Bank„w _ywnosci (FPBZ),III - Non-governmental organisations,756200,01/12/2016
British United Provident Association Limited (Bupa),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Union Blue Berets International Corps (U.B.B.),III - Non-governmental organisations,9999,01/12/2015
Bollor_-Blue Solutions,II - In-house lobbyists and trade/business/professional associations,200000,01/12/2016
Marine and Environmental Sciences Centre (MARE),"IV - Think tanks, research and academic institutions",1249999,01/12/2015
European Sustainable Development Network (ESDN),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",120830,01/12/2016
R3 HoldCo LLC (R3),II - In-house lobbyists and trade/business/professional associations,99999,01/01/2017
_________ ____________ ____________ & ____________ _______ (____),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
corlife,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
YouthProAktiv (YPA),III - Non-governmental organisations,49999,01/01/2016
International Dairy Federation (IDF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Arts Council of Wales (ACW),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/03/2017
5G Automotive Association (5GAA),II - In-house lobbyists and trade/business/professional associations, -   ,
BUFETE DE ABOGADOS (LEXCAM),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
End Female Genital Mutilation - European Network,III - Non-governmental organisations,199999,01/12/2016
LOTTO Rheinland-Pfalz GmbH,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Full Circle asbl (Full Circle),III - Non-governmental organisations,37925,01/12/2015
Institute of Technology Tralee (ITT),"IV - Think tanks, research and academic institutions",299999,01/08/2016
Asociaci„n Espa_ola de Editoriales de Publicaciones Peri„dicas (AEEPP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Select Holding (Welcome Chinese),II - In-house lobbyists and trade/business/professional associations,9999,01/06/2017
The Oxo-biodegradable Plastics Association (OPA),II - In-house lobbyists and trade/business/professional associations,24999,01/11/2017
Stowarzyszenie Forum Odpowiedzialnego Biznesu (FOB),III - Non-governmental organisations,41297,01/12/2016
Kassen_rztliche Bundesvereinigung (KBV),II - In-house lobbyists and trade/business/professional associations,135000,01/12/2016
